 397: max:0.750, min:0.536, mean:0.663
 398: max:0.750, min:0.536, mean:0.665
 399: max:0.750, min:0.500, mean:0.664
 400: max:0.714, min:0.571, mean:0.665
 401: max:0.714, min:0.536, mean:0.657
 402: max:0.714, min:0.571, mean:0.655
 403: max:0.714, min:0.536, mean:0.650
 404: max:0.714, min:0.536, mean:0.647
 405: max:0.714, min:0.464, mean:0.653
 406: max:0.750, min:0.536, mean:0.655
 407: max:0.750, min:0.464, mean:0.653
 408: max:0.750, min:0.536, mean:0.650
 409: max:0.750, min:0.536, mean:0.655
 410: max:0.750, min:0.536, mean:0.652
 411: max:0.750, min:0.536, mean:0.659
 412: max:0.750, min:0.571, mean:0.662
 413: max:0.750, min:0.571, mean:0.665
 414: max:0.750, min:0.607, mean:0.673
 415: max:0.750, min:0.571, mean:0.670
 416: max:0.750, min:0.571, mean:0.669
 417: max:0.750, min:0.571, mean:0.671
 418: max:0.714, min:0.536, mean:0.660
 419: max:0.714, min:0.536, mean:0.664
 420: max:0.714, min:0.571, mean:0.661
 421: max:0.714, min:0.571, mean:0.659
 422: max:0.714, min:0.571, mean:0.652
 423: max:0.714, min:0.536, mean:0.645
 424: max:0.714, min:0.536, mean:0.640
 425: max:0.714, min:0.536, mean:0.636
 426: max:0.714, min:0.500, mean:0.640
 427: max:0.714, min:0.464, mean:0.631
 428: max:0.714, min:0.536, mean:0.633
 429: max:0.714, min:0.536, mean:0.631
 430: max:0.679, min:0.536, mean:0.629
 431: max:0.679, min:0.536, mean:0.628
 432: max:0.679, min:0.536, mean:0.626
 433: max:0.679, min:0.536, mean:0.629
 434: max:0.714, min:0.536, mean:0.630
 435: max:0.714, min:0.429, mean:0.625
 436: max:0.714, min:0.536, mean:0.625
 437: max:0.714, min:0.536, mean:0.630
 438: max:0.714, min:0.500, mean:0.626
 439: max:0.679, min:0.500, mean:0.629
 440: max:0.714, min:0.536, mean:0.620
 441: max:0.714, min:0.500, mean:0.629
 442: max:0.714, min:0.536, mean:0.631
 443: max:0.714, min:0.536, mean:0.634
 444: max:0.750, min:0.536, mean:0.638
 445: max:0.750, min:0.464, mean:0.630
 446: max:0.750, min:0.500, mean:0.627
 447: max:0.750, min:0.464, mean:0.629
 448: max:0.714, min:0.536, mean:0.637
 449: max:0.714, min:0.500, mean:0.634
 450: max:0.714, min:0.500, mean:0.636
 451: max:0.714, min:0.500, mean:0.644
 452: max:0.714, min:0.536, mean:0.645
 453: max:0.714, min:0.500, mean:0.646
 454: max:0.714, min:0.536, mean:0.645
 455: max:0.714, min:0.536, mean:0.640
 456: max:0.714, min:0.536, mean:0.636
 457: max:0.714, min:0.536, mean:0.650
 458: max:0.714, min:0.464, mean:0.648
 459: max:0.714, min:0.500, mean:0.652
 460: max:0.714, min:0.536, mean:0.650
 461: max:0.714, min:0.536, mean:0.648
 462: max:0.714, min:0.571, mean:0.645
 463: max:0.714, min:0.536, mean:0.642
 464: max:0.714, min:0.500, mean:0.639
 465: max:0.714, min:0.500, mean:0.641
 466: max:0.714, min:0.500, mean:0.641
 467: max:0.714, min:0.536, mean:0.635
 468: max:0.714, min:0.536, mean:0.626
 469: max:0.679, min:0.500, mean:0.624
 470: max:0.679, min:0.500, mean:0.621
 471: max:0.679, min:0.500, mean:0.618
 472: max:0.679, min:0.536, mean:0.621
 473: max:0.679, min:0.536, mean:0.619
 474: max:0.679, min:0.464, mean:0.615
 475: max:0.679, min:0.536, mean:0.618
 476: max:0.679, min:0.500, mean:0.614
