  52 host: '1100011011110111111111111111111110111101111010111011010001111111111111111111111111001111011111111111' (0.700) =  83
  52 para: '0111111011111111110111011110011111111111011111111111011011111111110111011111111111011100111110111111' (1.000) =  85
  53 host: '1100011011110111111111111111111110111111111010111011010001111111111111111111111111001111111111111111' (0.900) =  85
  53 para: '0111111011111111110111011110011111111111011111111111011011111111110111011111111111011100111110111111' (1.000) =  85
  54 host: '1100011011110111111111111111111110111111111010111011010001111111111111111111111111001111111111111111' (1.000) =  85
  54 para: '0111111011111111110111011110011111111111011111111111011011111111110111011111111111011100111110110111' (1.000) =  84
  55 host: '1100011011110111111111111111101110111111111010111011010101111111111111111111111111001111111111111111' (0.800) =  85
  55 para: '0111111110111011110111111111110111101111111111011011111111111111000111111111111111111001111110110111' (1.000) =  85
  56 host: '1100011011110111101111111111111110111111111110111011110001111111111111111111111111001111111111111111' (0.800) =  86
  56 para: '0111111010111111101111011111111110111111111111111011111011111111010111110111111111111000111111111111' (1.000) =  86
  57 host: '1110011011110111101111111111111110111111111110111011110101111111111111111111111111001111111111111111' (1.000) =  88
  57 para: '0111111010111111101111011111111110111111111111111011111011111111010111110111111111111000111111111111' (1.000) =  86
  58 host: '1110011011110111101111111111111110111111111110111111110101111111111111111111111111001111111111111111' (1.000) =  89
  58 para: '0111111101111011111111111111111111101111111111011111111111111101000111111111111111111001111111110111' (1.000) =  88
  59 host: '1110011011110111101111111111111110111111111110111111110101111111111111111111111111001111111111111111' (1.000) =  89
  59 para: '0111111111111011111111111111111111101111111111011111111111111101000111111111111110111011111110110111' (1.000) =  88
  60 host: '1110011011110111101111111111111110111111111110111111110101111111111111111111111111001111111111111111' (1.000) =  89
  60 para: '0111111111111011111111111111111111101111111111011111011111111101100111111111111111111001111111110111' (1.000) =  89
  61 host: '1110011011110111101111111111111110111111111111111111110101111111111111111111111011001111011111111111' (1.000) =  88
  61 para: '0011111111111011111111111111111111101111111111011111011111111101101111111111111111111001111111110111' (1.000) =  89
  62 host: '1110011011110111101111111111111110111111111110111111110101111111111111111111111111001111111111111111' (1.000) =  89
  62 para: '0111111111111011111111111111111111101111111111011111011111111101101111111111111111111001111111110111' (1.000) =  90
  63 host: '1110011011110111101111111111111110111111111110111111110101111111111111111111111111001111111111111111' (0.900) =  89
  63 para: '0111111111111011111111111111111111101111111111011111011111111101101111111111111111111001111111110111' (1.000) =  90
  64 host: '1111011011110111101111111111111110111111111111111111110101111111111111111111111111001111111111111110' (1.000) =  90
  64 para: '0111111111111011111111111111111111101111111111011111111111111101110111111111111111111011111111110011' (1.000) =  91
  65 host: '1111011011110111101111111111111110111111111111111111110101111111111111111111111111011111111111111110' (1.000) =  91
  65 para: '1111111111111011111111111111111111101111111111011111011111111101101111111111111111111001111111110111' (1.000) =  91
  66 host: '1111011011110111101111111111111110111111111111111111110101111111111111111111111111011111111111111110' (0.700) =  91
  66 para: '1111111111111111111111111111111111101110111111111111011111111111101111111111111111111001111111110011' (1.000) =  92
  67 host: '1111011011110111101111111111111110111111111111111111110111111111111111111111111111011111111111111110' (0.900) =  92
  67 para: '0111011111101011111111111111111111101111111111011111111111111101111111111111111111111101111111110111' (1.000) =  91
  68 host: '1111011011110111101111111111111110111111111111111111110111111111111111111111111111011111111111111110' (1.000) =  92
  68 para: '0111111111011011111111111111111110111111111111011111011111111111101111111111111111111101111111110111' (1.000) =  91
  69 host: '1111011011110111101111111111111110111111111111111111110111111111111111111111111111011111111111111110' (0.700) =  92
  69 para: '1111111111111111111111111110011111101111111111011111011111111111101111111111111111111101111111111111' (1.000) =  93
  70 host: '1111011011110111101111111111111110111111111111111111110111111111111111111111111111011111111111111110' (0.900) =  92
  70 para: '1111111111111011111111111111111111111111111111011111111111111111101111111011111111111011111111111011' (1.000) =  94
  71 host: '1111111011111111101111111111111110111111111111111111110111111111111111111111111111011111111111111110' (1.000) =  94
  71 para: '1111111111111111111111111111011111101111111111011111111111111111101111111111111111111000111111111111' (1.000) =  93
  72 host: '1111111011111111101111111111111110111111111111111111110111111111111111111111111111011111111111111110' (1.000) =  94
  72 para: '0111011110111001111111111111111111111111111111111111111111111101111111111111111111111111111111110111' (1.000) =  93
  73 host: '1111111011111111101111111111111110111111111111111111110111111111111111111111111111111111111111111110' (1.000) =  95
  73 para: '1111111111111111011111111111111111111111111111011111111111111101110111111111111111111011111111111111' (1.000) =  95
  74 host: '1111111011111111101111110111111110111111111111111111110111111111111111111111111111111111111111111110' (1.000) =  94
  74 para: '1111011110111111111111111111111111111111111111011111111111111101111111111111110111111111111111111111' (1.000) =  95
  75 host: '1111111011111111111111111111111110111111111111111111111111111111110111111111111111011111111111111110' (1.000) =  95
  75 para: '1111011110111111111111111111111111111111111111011111111111111101111111111111110111111111111111111111' (1.000) =  95
  76 host: '1111111011111111111111111111111110111111111111111111111111111111110111111111111111011111111111111110' (1.000) =  95
  76 para: '1111011110111111111111111111111111111111111111011111111111111101111111111111110111111111111111111111' (1.000) =  95
  77 host: '1111111011111111111111111111111110111111111111111111111111111111110111111111111111011111111111111110' (1.000) =  95
  77 para: '1111111111111111011111111111111111111111111111011111111111111101110111111111111111111011111111111111' (1.000) =  95
  78 host: '1111111011111111111111111111111110111111111111111111111111111111110111111111111111011111111111111110' (1.000) =  95
  78 para: '1111111111111111111111111111111111111111111111011111111111111101110111111111111111111011111111111111' (1.000) =  96
  79 host: '1111111111111111111111111111111110111111111111111111111111111111110111111111111111011111111111111110' (1.000) =  96
  79 para: '1111111111111111111111111111111111111111111111011111111111111101110111111111111111101011111111111111' (1.000) =  95
  80 host: '1111111111111111111111111111111110111111111111111111111111111111110111111111111111011111111111111110' (1.000) =  96
  80 para: '1111111111111111011111111111111111111111111111011111111111111101110111111111111111111111111111111111' (1.000) =  96
  81 host: '1111111111111111111111111111111111111110111111111111111111111111110111111111111111011111111111111110' (1.000) =  96
  81 para: '1111111111111111111111111111111111111111111111111111111111111101111111111111111111101011111111111111' (1.000) =  97
  82 host: '1111111111111111111111111111111111111110111111111111111111111111110111111011111111111111111111111110' (1.000) =  96
  82 para: '1111111111111111111111111111111111111111111111111111111111111101110111111111111111101011110111111111' (1.000) =  95
  83 host: '1111111111111111111111111111111111111110111111111111111111111111111111111111111111011111111111111110' (1.000) =  97
  83 para: '1111111111111111011111111111111111111111111111111111111111111111110111111111111111111111111110111111' (1.000) =  97
  84 host: '1111111111111111111111111111111111111110111111111111111111111111110111111011111111111111111111111110' (1.000) =  96
  84 para: '1111111111111111011111111111111111111111111111111111111111111111110111111111111111111111111110111111' (1.000) =  97
  85 host: '1111111111111110111111111111111110111111111111111111111111111111110111111111111111111111111111111110' (1.000) =  96
  85 para: '1111111111111111111111111111111111111111111111111111111111111101111111111111111111111011111111111111' (1.000) =  98
  86 host: '1111111111111110111111111111111110111111111111111111111111111111110111111111111111111111111111111110' (0.700) =  96
  86 para: '1111110111111111011111111111111111111111111111111111111111111111110111111111111111111111111110111111' (1.000) =  96
  87 host: '1111111111111111111111111111111101111110111111111111111111111111111111101111111111111111111111111111' (0.700) =  97
  87 para: '1111111111111111111111111111111111111111111111111111111111111101111111111111111111111011111111111111' (1.000) =  98
  88 host: '1111111111111111111111111111111101111110111111111111111111111111111111101111111111111111111111111111' (0.900) =  97
  88 para: '1111111111111111111111111111111111111111111111111111111111111101111111111111111111111011011111111111' (1.000) =  97
  89 host: '1111111111111111111111111111111101111110111111111111111111111111111111101111111111111111111111111111' (0.800) =  97
  89 para: '1111111111111111111111111111111111111111111111111111111111111101111111111111111111111011111111111111' (1.000) =  98
  90 host: '1111111111111110111111111111111110111111111111111111111111111111110111111111111111111111111111111110' (0.500) =  96
  90 para: '1111111111111111111011111111111111111111111111111111111111111111110111111111111111111111111110111111' (1.000) =  97
  91 host: '1111111111111111111111111111111101111110111111111111111111111111111110101111111111111111111111111111' (0.500) =  96
  91 para: '1111111111111111111111111111111111111111111111111111111111111111110111101111111111111111111110111111' (1.000) =  97
  92 host: '1111111111111110111111111111111110111111111111111111111111111111110111111111111111111111111111111110' (0.400) =  96
  92 para: '1111111111111111111111111111111111111111111111101111111111111111111111111011111111111111111110111111' (1.000) =  97
  93 host: '1111111111111110111111111111111110111111111111111111111111111111110111111111111111111111111111111110' (0.600) =  96
  93 para: '1110111111111111111111111111111111111111111111111111111111111111110111111111111111111111111110111111' (1.000) =  97
  94 host: '1111111111111111111111111111111101111110111111111111111111111111111110101111111111101111111111111111' (0.500) =  95
  94 para: '1111111111111111111111111111111110111111111111101111111111111101111111110111111111111111111111111111' (1.000) =  96
  95 host: '1111111111111111111111111111111110111111111111111111111111111111110111111111111111101111111111111110' (0.500) =  96
  95 para: '1111111111111111111111111111111111111111111111111111101111111111111111111011111111111011111111111111' (1.000) =  97
  96 host: '1111111111111111111111111111111110111111111111111111111111111111110111111110111111101111111111111110' (0.400) =  95
  96 para: '1110111111111111111111111111111111111111111111111111111111111111110111111111111111111111111110111111' (1.000) =  97
  97 host: '1111111111111110111111111111111110111111111111111111111111111111110111111111111111111111110111111110' (0.400) =  95
  97 para: '1111111111111111111111111111111111111111111111111111111111111111100111111111111111111111111111111111' (1.000) =  98
  98 host: '1111111111111111111111111111111110111111111111111111111111111111110111111111111111101111111111111110' (0.700) =  96
  98 para: '1111111111111111111111111101111110111111111111111111111111111101111111110111111111111111111111111111' (1.000) =  96
  99 host: '1111111111111111111111111111111110111111111111111111111111111111110111111111111111101111111111111110' (0.700) =  96
  99 para: '1111111111111011111111111111111110111111111111111111111111111111111111010111111111111111111111111111' (1.000) =  96
 100 host: '1111111111111111111111111111111110111111111111111111111111111111110111111111111111101111111111111110' (0.800) =  96
 100 para: '1111111111110111111111111111111011111111111111111111111111111111111111111111111111111111111101111111' (1.000) =  97
 101 host: '1111111111111111111111111111111110111111111111111011111111111111110111111111111111101111111111111110' (0.500) =  95
 101 para: '1111111111111111111111101111111111111111111111111111111111111111111111111111111111111111011111101111' (1.000) =  97
 102 host: '1111111111111111111111111111111110111111111111111011111111111111110111111111111111101111111111111111' (1.000) =  96
 102 para: '1111111111111111111111111111111111111111111111111111111110111111111111111111111110011111011111111111' (1.000) =  96
 103 host: '1111111111111111111111111111101110111111111111111111111111111111111111111111111111101111111111111110' (0.900) =  96
 103 para: '1111111111111011111111111111111110110111111111111111111111111111111111111111011111111111111111111111' (1.000) =  96
 104 host: '1111111111111111111111111111101110111111111111111111111111111111111111111111111111101111111111111110' (0.900) =  96
 104 para: '1111111111110111111111111111111011111111111111101111111111111111111111111111111111111111111101111111' (1.000) =  96
 105 host: '1111111111111111111111111111111110111111111111111111111111111111111111111110111111101111111111111111' (1.000) =  97
 105 para: '1111111111111111111111111111111110111111111111111111111111111111111111010111111111111111111111111111' (1.000) =  97
